old_url,new_url,action,title,pubDate,bodyWords,transcriptWords,tags,youtubeId,draft,note,game
/blog/vlogs/started-on-the-loincloth/,/vlog/started-on-the-loincloth/,vlog,Started on the Loincloth,2025-11-29,216,261,"infinity,glazing,scale-75,painting",ZCbBgWRWWMU,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,infinity
/blog/vlogs/starting-my-entry-for-children-of-gomb/,/vlog/starting-my-entry-for-children-of-gomb/,vlog,Starting My Entry for Children of Gomb,2026-02-10,14,243,"children-of-gomb,sculpting,kitbashing,indie-miniatures,competition,inq28",sxnC98FO5T4,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/starting-my-first-sculpting-project/,/vlog/starting-my-first-sculpting-project/,vlog,Starting My First Sculpting Project,2026-02-13,12,579,"sculpting,children-of-gomb,kitbashing,indie-miniatures,inq28",W5Q2RzcnJxk,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/starting-the-year-with-true-metal-metallics/,/vlog/starting-the-year-with-true-metal-metallics/,vlog,Starting the Year with True Metal Metallics,2026-01-01,1091,2967,"metallics,warmachine,crucible-guard,speed-painting",gUy9KhsE7Ec,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/staying-motivated-during-big-projects/,/vlog/staying-motivated-during-big-projects/,vlog,A Quick-Win Trick for Long Hobby Projects,2025-10-06,243,412,"hobby-motivation,building,tutorial,orcs-and-goblins",5nc4mPCBhCM,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/taking-a-look-at-inquisitor-kroyle/,/vlog/taking-a-look-at-inquisitor-kroyle/,vlog,Taking a look at Inquisitor Kroyle,2026-05-13,13,609,"painting,kitbashing,unboxing,warmachine,warhammer",9Z9Re87HRlE,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
/blog/vlogs/the-daily-vlog-returns/,/vlog/the-daily-vlog-returns/,vlog,The daily vlog returns,2026-06-15,11,1499,"painting,orcs-and-goblins,airbrushing,basing,snow-effects,3d-printing,building",vd5EkLToljw,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/the-first-miniatures-i-ever-painted/,/vlog/the-first-miniatures-i-ever-painted/,vlog,The First Miniatures I Ever Painted,2025-12-01,677,2450,"mage-knight,collection",hU5kh8u9Xf0,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,mage-knight
/blog/vlogs/the-power-of-purple/,/vlog/the-power-of-purple/,vlog,The power of purple,2026-06-06,11,1799,"painting,metallics,airbrushing,orcs-and-goblins,basing,washes",bVqyA8VH5xY,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/these-miniatures-changed-how-i-looked-at-the-hobby/,/vlog/these-miniatures-changed-how-i-looked-at-the-hobby/,vlog,These Miniatures Changed How I Looked at the Hobby,2026-03-17,16,435,"resin-casting,smashbash,indie-miniatures,inq28,unboxing",K25iQgmnRz0,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/thoughts-on-90-days-of-hobby-vlogging/,/vlog/thoughts-on-90-days-of-hobby-vlogging/,vlog,Thoughts On 90 Days of Hobby Vlogging,2025-12-10,615,1818,"hobby-motivation,dolmenwood",6XcmbAr7Xwk,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,dolmenwood
/blog/vlogs/toad-giveaway/,/vlog/toad-giveaway/,vlog,Toad Giveaway,2025-11-03,318,1248,"giveaway, workspace, collection, resin-casting",dlSOBzZIhiA,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/vlog-day-6-almost-done-with-the-board/,/vlog/vlog-day-6-almost-done-with-the-board/,vlog,Vlog Day 6 - Almost Done with the Board,2025-09-16,263,685,"terrain,airbrushing,streaking-grime",6WErZ0Rmub0,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,
/blog/vlogs/vlog-update-prepping-models-for-mass-assembly/,/vlog/vlog-update-prepping-models-for-mass-assembly/,vlog,Vlog Update - Prepping Models for Mass Assembly,2025-10-05,227,343,"building,orcs-and-goblins,tutorial,warmachine",M4p5S-_VHvg,,keep live + indexed under /vlog/; 301 from old URL; add intro/related-guides block,warmachine
